executorId,attempt,taskId,launchTime,executorDeserializeTime,executorRunTime,bytesRead,recordsRead,jvmGcTime,memoryBytesSpilled,resultSerializationTime,resultSize,bytesWritten,recordsWritten,writeTime
2,0,250,2015-12-28T14:24:36.328GMT,7,168654,274088514,88,254,0,0,2807,585,3,97605
2,0,251,2015-12-28T14:24:36.536GMT,5,167671,274616795,87,254,0,0,2807,778,4,84009
2,0,256,2015-12-28T14:24:37.592GMT,5,166871,271660519,86,249,0,0,2807,778,4,87426
2,0,257,2015-12-28T14:24:37.978GMT,6,167592,272640869,87,249,0,0,2807,780,4,85365
6,0,254,2015-12-28T14:24:37.535GMT,13,33862,52822891,17,100,0,0,2811,195,1,56446
6,0,255,2015-12-28T14:24:37.584GMT,4,175766,274136807,88,178,0,0,2811,585,3,72502
3,0,508,2015-12-28T14:29:58.592GMT,23,107200,271623764,87,129,0,0,2811,780,4,88157
3,0,509,2015-12-28T14:29:58.619GMT,3,30099,52250616,17,89,0,0,2811,195,1,61457
9,0,506,2015-12-28T14:29:58.010GMT,4,123310,273251760,87,102,0,0,2807,778,4,90497
3,0,507,2015-12-28T14:29:58.421GMT,5,102085,273583007,87,122,0,0,2811,780,4,84737
3,0,504,2015-12-28T14:29:57.366GMT,6,29650,49718253,16,89,0,0,2811,195,1,47303
12,0,505,2015-12-28T14:29:57.667GMT,5,120448,273414318,88,76,0,0,2808,585,3,48830
5,0,502,2015-12-28T14:29:57.204GMT,5,130359,274054441,87,122,0,0,2807,780,4,67336
8,0,503,2015-12-28T14:29:57.348GMT,5,120483,272120473,87,129,0,0,2807,780,4,64696
10,0,500,2015-12-28T14:29:56.618GMT,5,114385,273886560,88,96,0,0,2812,585,3,57254
9,0,501,2015-12-28T14:29:56.978GMT,5,116647,273921785,87,102,0,0,2807,778,4,59296
8,0,469,2015-12-28T14:28:48.481GMT,26,31779,53346154,17,18,0,0,2807,195,1,98014
12,0,468,2015-12-28T14:28:45.661GMT,5,146506,272728493,87,98,0,0,2808,780,4,59787
14,0,465,2015-12-28T14:28:34.791GMT,9,150388,274028498,88,140,0,0,2812,585,3,54239
5,0,464,2015-12-28T14:28:34.506GMT,5,32365,52158897,16,18,0,0,2807,195,1,66646
7,0,467,2015-12-28T14:28:42.253GMT,6,150761,274421544,87,145,0,1,2811,780,4,66259
6,0,466,2015-12-28T14:28:40.004GMT,5,160316,273989946,87,95,0,0,2811,778,4,63120
1,0,461,2015-12-28T14:28:32.456GMT,8,155054,271782700,86,165,0,0,2811,778,4,63710
15,0,460,2015-12-28T14:28:30.231GMT,5,157040,274201159,88,95,0,0,2812,585,3,51433
9,0,463,2015-12-28T14:28:33.824GMT,5,155759,274519380,88,124,0,0,2807,780,4,87780
11,0,462,2015-12-28T14:28:32.967GMT,4,159209,272693750,87,241,0,0,2812,780,4,60198
3,0,168,2015-12-28T14:24:26.660GMT,6,164382,274052810,87,170,0,0,2811,780,4,84408
0,0,169,2015-12-28T14:24:26.691GMT,9,33926,57905704,18,107,0,0,2811,195,1,58919
12,0,164,2015-12-28T14:24:26.338GMT,10,31752,54227553,17,106,0,0,2808,195,1,61225
12,0,165,2015-12-28T14:24:26.466GMT,5,162424,272039433,87,216,0,0,2808,585,3,73672
14,0,166,2015-12-28T14:24:26.555GMT,6,162099,273462016,87,202,0,0,2812,778,4,87835
11,0,167,2015-12-28T14:24:26.603GMT,5,162373,274601733,87,212,0,0,2812,780,4,87181
0,0,160,2015-12-28T14:24:25.989GMT,9,164627,274485565,88,293,0,0,2811,585,3,70403
11,0,161,2015-12-28T14:24:26.117GMT,7,160198,272015323,86,212,0,0,2812,778,4,81987
1,0,162,2015-12-28T14:24:26.178GMT,18,161522,273519312,87,205,0,0,2811,780,4,77963
9,0,163,2015-12-28T14:24:26.309GMT,7,163143,273276704,87,184,0,0,2807,780,4,84283
14,0,9,2015-12-28T14:22:03.640GMT,1756,26840,50993805,16,94,0,0,2812,195,1,594632
9,0,357,2015-12-28T14:27:13.499GMT,5,170406,271924239,86,226,0,0,2807,780,4,80217
10,0,356,2015-12-28T14:27:13.230GMT,4,166255,274438855,87,190,0,0,2812,778,4,79647
12,0,355,2015-12-28T14:27:13.111GMT,6,164552,273960540,88,284,0,0,2808,585,3,62274
13,0,354,2015-12-28T14:27:12.755GMT,6,31174,51953495,16,96,0,1,2808,195,1,99429
3,0,353,2015-12-28T14:27:12.739GMT,5,165843,274348968,88,102,0,0,2811,780,4,77028
8,0,352,2015-12-28T14:27:12.641GMT,5,164694,272774976,87,115,0,0,2807,780,4,84165
10,0,351,2015-12-28T14:27:12.242GMT,5,164366,272175928,86,190,0,0,2812,778,4,121538
9,0,350,2015-12-28T14:27:11.988GMT,6,166016,274415147,88,220,0,0,2807,585,3,73815
0,0,359,2015-12-28T14:27:14.069GMT,6,32616,50895297,16,85,0,0,2811,195,1,54299
9,0,358,2015-12-28T14:27:13.561GMT,4,176451,273328261,88,260,0,0,2807,780,4,84581
13,0,216,2015-12-28T14:24:28.073GMT,5,162581,274177706,87,215,0,0,2808,778,4,79901
7,0,217,2015-12-28T14:24:28.078GMT,7,169906,271658412,86,223,0,0,2811,780,4,62221
7,0,214,2015-12-28T14:24:28.021GMT,6,34523,53724998,17,85,0,0,2811,195,1,61996
4,0,215,2015-12-28T14:24:28.035GMT,4,169408,273938018,88,166,0,0,2811,585,3,63857
10,0,212,2015-12-28T14:24:27.912GMT,5,163373,273496177,87,181,0,0,2812,780,4,82271
9,0,213,2015-12-28T14:24:27.914GMT,5,163429,273012915,87,184,0,0,2807,780,4,75299
10,0,210,2015-12-28T14:24:27.830GMT,7,169398,271570428,87,181,0,0,2812,585,3,70662
8,0,211,2015-12-28T14:24:27.906GMT,6,171139,272392040,87,151,0,0,2807,778,4,80805
5,0,218,2015-12-28T14:24:28.101GMT,8,167411,273484076,88,267,0,0,2807,610,4,73708
8,0,219,2015-12-28T14:24:28.106GMT,4,31671,51102211,16,30,0,0,2807,195,1,95697
1,0,289,2015-12-28T14:25:16.545GMT,6,32250,55035526,17,19,0,0,2811,195,1,53286
12,0,288,2015-12-28T14:25:16.147GMT,6,164070,274382015,88,164,0,0,2808,780,4,99500
2,0,4,2015-12-28T14:22:03.637GMT,791,32846,56897575,18,262,0,0,2807,197,1,51984
6,0,281,2015-12-28T14:25:11.413GMT,9,173796,271824431,86,152,0,0,2811,778,4,101247
2,0,280,2015-12-28T14:25:10.945GMT,7,168620,274354025,88,194,0,0,2807,585,3,74403
15,0,283,2015-12-28T14:25:14.496GMT,7,165485,274150134,88,145,0,0,2812,780,4,75886
15,0,282,2015-12-28T14:25:13.677GMT,7,187762,272488509,87,217,0,0,2812,780,4,78690
14,0,285,2015-12-28T14:25:15.176GMT,6,163905,273976007,88,159,0,0,2812,585,3,75383
10,0,284,2015-12-28T14:25:15.150GMT,5,30262,51625072,16,77,0,0,2812,195,1,58189
11,0,287,2015-12-28T14:25:15.515GMT,5,161272,272454286,87,151,0,0,2812,780,4,85010
1,0,286,2015-12-28T14:25:15.344GMT,6,160912,271636773,86,156,0,0,2811,778,4,87979
1,0,263,2015-12-28T14:24:57.266GMT,6,163691,272653215,87,248,0,1,2811,780,4,84971
1,0,262,2015-12-28T14:24:55.719GMT,6,162303,273155720,87,242,0,0,2811,780,4,100082
6,0,261,2015-12-28T14:24:39.872GMT,6,183324,272108385,87,229,0,0,2811,778,4,92323
6,0,260,2015-12-28T14:24:38.607GMT,6,173231,271654336,87,178,0,0,2811,585,3,64068
5,0,267,2015-12-28T14:24:59.092GMT,8,166676,271756541,86,170,0,0,2807,780,4,98976
12,0,266,2015-12-28T14:24:59.014GMT,6,162048,274149008,87,196,0,0,2808,778,4,84256
12,0,265,2015-12-28T14:24:58.104GMT,6,165225,273794523,88,206,0,0,2808,585,3,77412
0,0,264,2015-12-28T14:24:58.013GMT,6,32648,53467972,17,27,0,0,2811,195,1,66835
8,0,269,2015-12-28T14:24:59.785GMT,7,32875,54488968,17,54,0,0,2807,195,1,53472
1,0,268,2015-12-28T14:24:59.313GMT,6,164529,273747894,88,239,0,0,2811,780,4,81820
3,0,59,2015-12-28T14:22:03.668GMT,1570,26835,50117929,16,89,0,0,2811,195,1,598173
0,0,58,2015-12-28T14:22:03.668GMT,1277,141761,272545622,87,296,0,0,2811,780,4,77392
10,0,55,2015-12-28T14:22:03.666GMT,1212,143909,273693541,88,208,0,0,2812,585,3,64584
6,0,54,2015-12-28T14:22:03.666GMT,10685,26955,49099785,16,113,0,1,2811,195,1,615115
14,0,57,2015-12-28T14:22:03.667GMT,1756,141325,273395080,87,215,0,0,2812,780,4,117096
7,0,56,2015-12-28T14:22:03.667GMT,1511,142976,273492178,87,232,0,0,2811,778,4,60653
5,0,51,2015-12-28T14:22:03.664GMT,1816,142208,272708327,87,389,0,0,2807,778,4,94682
11,0,50,2015-12-28T14:22:03.664GMT,1786,142242,273234298,88,276,0,0,2812,585,3,52883
8,0,53,2015-12-28T14:22:03.665GMT,1843,142146,271607755,87,220,0,0,2807,780,4,76462
2,0,52,2015-12-28T14:22:03.665GMT,791,152009,272517948,87,530,0,0,2807,780,4,77799
11,0,537,2015-12-28T14:30:18.156GMT,5,121119,274595230,87,210,0,1,2812,780,4,67653
4,0,536,2015-12-28T14:30:14.041GMT,5,118872,274024325,87,126,0,0,2811,778,4,69101
2,0,535,2015-12-28T14:30:13.765GMT,5,101268,273675898,88,53,0,0,2807,585,3,54276
4,0,534,2015-12-28T14:30:12.634GMT,4,31709,50994400,16,85,0,0,2811,195,1,104387
4,0,533,2015-12-28T14:30:12.438GMT,5,131193,273350288,88,130,0,0,2811,780,4,58485
4,0,532,2015-12-28T14:30:12.356GMT,9,118686,271823175,86,126,0,0,2811,780,4,66015
2,0,531,2015-12-28T14:30:12.354GMT,4,101532,274002470,87,53,0,0,2807,778,4,67949
7,0,530,2015-12-28T14:30:12.080GMT,5,101585,273872933,88,109,0,0,2811,585,3,55364
6,0,539,2015-12-28T14:30:22.217GMT,5,25083,50537081,16,14,0,0,2811,195,1,46502
15,0,538,2015-12-28T14:30:18.853GMT,13,98751,272902602,87,38,0,0,2812,780,4,58593
5,0,115,2015-12-28T14:22:03.711GMT,1812,143314,274469495,88,389,0,1,2807,588,3,79971
2,0,68,2015-12-28T14:22:03.676GMT,790,151802,272037593,87,530,0,0,2807,780,4,77778
8,0,117,2015-12-28T14:22:03.712GMT,1840,142523,273315771,87,220,0,0,2807,784,4,66951
2,0,116,2015-12-28T14:22:03.711GMT,788,150658,272160547,86,530,0,0,2807,782,4,83336
4,0,111,2015-12-28T14:22:03.708GMT,1058,142732,274199686,87,360,0,0,2811,778,4,72692
9,0,110,2015-12-28T14:22:03.707GMT,1874,143575,273889448,88,223,0,0,2807,585,3,71236
15,0,113,2015-12-28T14:22:03.709GMT,1246,142323,271899195,87,596,0,0,2812,780,4,76661
12,0,112,2015-12-28T14:22:03.708GMT,1858,141501,271965920,86,260,0,0,2808,780,4,72136
10,0,119,2015-12-28T14:22:03.713GMT,1208,29106,53934865,17,107,0,0,2812,196,1,57846
6,0,118,2015-12-28T14:22:03.713GMT,10681,143571,273203332,87,297,0,0,2811,784,4,85358
1,0,429,2015-12-28T14:27:56.268GMT,5,32170,54118435,17,24,0,0,2811,195,1,99525
7,0,428,2015-12-28T14:27:53.752GMT,6,170611,273449885,88,155,0,1,2811,780,4,64654
5,0,421,2015-12-28T14:27:47.826GMT,5,168446,273916859,87,218,0,0,2807,778,4,72071
0,0,420,2015-12-28T14:27:46.695GMT,5,169183,273638094,88,177,0,0,2811,585,3,68067
5,0,423,2015-12-28T14:27:49.516GMT,4,169510,273317383,88,213,0,0,2807,780,4,64771
5,0,422,2015-12-28T14:27:47.893GMT,5,167080,271584927,86,218,0,0,2807,780,4,91572
7,0,425,2015-12-28T14:27:49.850GMT,5,170167,273784990,88,160,0,0,2811,585,3,72318
15,0,424,2015-12-28T14:27:49.702GMT,5,32215,50886641,16,83,0,0,2812,195,1,52882
10,0,427,2015-12-28T14:27:53.174GMT,6,167603,271622577,86,214,0,0,2812,780,4,74906
13,0,426,2015-12-28T14:27:50.976GMT,5,169023,274208010,87,181,0,0,2808,778,4,84967
1,0,308,2015-12-28T14:25:48.806GMT,5,163640,274461054,88,153,0,0,2811,780,4,82167
3,0,309,2015-12-28T14:25:49.738GMT,5,32163,55347896,17,20,0,0,2811,195,1,54278
2,0,300,2015-12-28T14:25:25.201GMT,6,168379,273819916,88,196,0,0,2807,585,3,72732
2,0,301,2015-12-28T14:25:28.644GMT,6,168386,274089657,87,196,0,0,2807,778,4,91169
0,0,302,2015-12-28T14:25:30.671GMT,6,165583,271760943,86,266,0,0,2811,780,4,113497
8,0,303,2015-12-28T14:25:32.671GMT,5,168736,273625152,88,116,0,0,2807,780,4,75419
8,0,304,2015-12-28T14:25:33.404GMT,5,30234,51216696,16,30,0,0,2807,195,1,53454
14,0,305,2015-12-28T14:25:36.005GMT,6,169320,273799630,88,106,0,0,2812,585,3,66487
10,0,306,2015-12-28T14:25:45.422GMT,5,163697,274371008,87,113,0,0,2812,778,4,88086
6,0,307,2015-12-28T14:25:46.022GMT,6,185978,272356665,86,307,0,0,2811,780,4,81626
0,0,181,2015-12-28T14:24:27.052GMT,5,167836,273956433,87,293,0,0,2811,778,4,61243
8,0,229,2015-12-28T14:24:28.615GMT,4,33360,56657657,18,30,0,0,2807,195,1,88900
4,0,228,2015-12-28T14:24:28.443GMT,6,173509,272857512,87,166,0,0,2811,780,4,101066
8,0,227,2015-12-28T14:24:28.381GMT,4,164253,273554844,87,145,0,0,2807,780,4,79742
13,0,226,2015-12-28T14:24:28.300GMT,5,166552,272298545,86,215,0,1,2808,778,4,100905
9,0,225,2015-12-28T14:24:28.288GMT,6,165268,274302035,88,184,0,0,2807,585,3,59252
5,0,224,2015-12-28T14:24:28.261GMT,5,30822,51612540,16,127,0,0,2807,195,1,115550
10,0,223,2015-12-28T14:24:28.245GMT,4,166157,273904423,87,181,0,0,2812,780,4,84141
7,0,222,2015-12-28T14:24:28.235GMT,5,168416,274611518,87,223,0,0,2811,780,4,86417
12,0,221,2015-12-28T14:24:28.223GMT,7,163442,273911933,87,205,0,0,2808,778,4,70647
0,0,220,2015-12-28T14:24:28.189GMT,5,165997,273742240,88,293,0,0,2811,585,3,42627
11,0,114,2015-12-28T14:22:03.710GMT,1783,28265,52722202,17,112,0,0,2812,195,1,52000
7,0,88,2015-12-28T14:22:03.691GMT,1507,143649,273259215,87,232,0,0,2811,780,4,64077
2,0,390,2015-12-28T14:27:24.988GMT,6,168774,274112871,88,113,0,0,2807,585,3,78255
2,0,151,2015-12-28T14:22:37.378GMT,7,171261,274437036,87,379,0,0,2807,778,4,79866
13,0,150,2015-12-28T14:22:36.651GMT,7,166074,274105646,88,219,0,0,2808,585,3,68658
7,0,153,2015-12-28T14:23:05.257GMT,6,167841,271659040,87,230,0,0,2811,780,4,81832
6,0,152,2015-12-28T14:22:41.388GMT,9,184626,272151755,86,309,0,0,2811,780,4,94001
9,0,155,2015-12-28T14:23:06.412GMT,7,165817,274064043,88,184,0,0,2807,585,3,71271
0,0,154,2015-12-28T14:23:06.276GMT,7,32071,52256395,17,22,0,0,2811,195,1,53833
14,0,157,2015-12-28T14:23:10.874GMT,7,161057,271906067,86,202,0,0,2812,780,4,85467
11,0,156,2015-12-28T14:23:07.385GMT,7,162735,274057681,87,214,0,0,2812,778,4,85677
1,0,159,2015-12-28T14:24:25.593GMT,7,30114,51974637,16,31,0,0,2811,195,1,60631
0,0,158,2015-12-28T14:23:38.359GMT,9,166312,274233251,88,294,0,1,2811,780,4,85314
12,0,80,2015-12-28T14:22:03.685GMT,1859,143795,274367748,88,260,0,0,2808,585,3,64874
11,0,398,2015-12-28T14:27:35.491GMT,5,162660,273635816,87,97,0,0,2812,780,4,85929
12,0,48,2015-12-28T14:22:03.662GMT,1860,142634,272575791,87,260,0,0,2808,780,4,82545
15,0,49,2015-12-28T14:22:03.663GMT,1250,29410,53139432,17,138,0,1,2812,195,1,652511
9,0,46,2015-12-28T14:22:03.661GMT,1877,142150,273763355,87,215,0,0,2807,778,4,80820
4,0,47,2015-12-28T14:22:03.662GMT,1061,142599,273788072,87,360,0,0,2811,780,4,79374
1,0,44,2015-12-28T14:22:03.660GMT,1111,26763,50910157,16,107,0,0,2811,195,1,720746
13,0,45,2015-12-28T14:22:03.661GMT,1856,143234,273829223,88,242,0,0,2808,585,3,73856
0,0,42,2015-12-28T14:22:03.659GMT,1278,141923,274042165,87,296,0,0,2811,780,4,84323
3,0,43,2015-12-28T14:22:03.660GMT,1571,142075,273303174,87,209,0,0,2811,780,4,81716
7,0,40,2015-12-28T14:22:03.658GMT,1513,144374,273665726,88,249,0,1,2811,585,3,67890
14,0,41,2015-12-28T14:22:03.659GMT,1757,141457,273626503,87,215,0,0,2812,778,4,77109
8,0,5,2015-12-28T14:22:03.638GMT,1844,143032,274006089,88,220,0,0,2807,585,3,52576
8,0,489,2015-12-28T14:29:53.587GMT,4,33629,55312898,18,83,0,0,2807,195,1,62864
9,0,488,2015-12-28T14:29:53.311GMT,5,124060,271538435,87,102,0,0,2807,780,4,79374
11,0,487,2015-12-28T14:29:50.892GMT,5,139710,272577472,87,229,0,0,2812,780,4,88070
12,0,486,2015-12-28T14:29:50.845GMT,5,120832,271679912,86,76,0,0,2808,778,4,60987
1,0,485,2015-12-28T14:29:50.755GMT,5,125260,274079619,88,144,0,0,2811,585,3,79406
8,0,484,2015-12-28T14:29:50.739GMT,4,31505,52840327,17,74,0,0,2807,195,1,64310
14,0,483,2015-12-28T14:29:50.617GMT,5,110047,271974790,87,111,0,0,2812,780,4,64543
11,0,482,2015-12-28T14:29:50.390GMT,6,141879,273168400,87,234,0,0,2812,780,4,91626
14,0,481,2015-12-28T14:29:50.097GMT,5,105925,271868635,86,111,0,0,2812,778,4,71686
12,0,480,2015-12-28T14:29:49.907GMT,7,125099,274176883,88,76,0,0,2808,585,3,54639
10,0,472,2015-12-28T14:28:59.692GMT,5,147128,274344866,87,163,0,0,2812,780,4,78513
3,0,473,2015-12-28T14:29:05.035GMT,5,133607,272778055,87,142,0,0,2811,780,4,88493
6,0,470,2015-12-28T14:28:52.004GMT,5,145317,273686467,88,86,0,0,2811,585,3,54762
8,0,471,2015-12-28T14:28:52.359GMT,4,152150,273715058,87,157,0,0,2807,778,4,76668
13,0,476,2015-12-28T14:29:09.458GMT,5,125532,271920891,86,63,0,0,2808,778,4,62786
8,0,477,2015-12-28T14:29:20.289GMT,5,135029,272904887,87,144,0,0,2807,780,4,66490
5,0,474,2015-12-28T14:29:06.892GMT,5,30041,50537142,16,23,0,0,2807,195,1,62093
0,0,475,2015-12-28T14:29:07.371GMT,11,137067,274538749,88,136,0,0,2811,585,3,54151
5,0,478,2015-12-28T14:29:36.947GMT,5,141681,271937365,87,129,0,0,2807,780,4,66135
15,0,479,2015-12-28T14:29:48.176GMT,5,30667,52702719,17,14,0,0,2812,195,1,54991
